timestamp,latency_ms,error
1785129117.3886569,264.9259567260742,0
1785129117.3888462,262.8469467163086,0
1785129117.3889248,260.9977722167969,0
1785129117.4293,299.1049289703369,0
1785129117.4293876,297.95002937316895,0
1785129117.4294531,299.072265625,0
1785129117.4295163,299.54051971435547,0
1785129117.4295766,295.40157318115234,0
1785129117.4427388,306.9877624511719,0
1785129117.443477,307.5282573699951,0
1785129117.4903412,354.2208671569824,0
1785129117.4904447,354.07376289367676,0
1785129117.4905286,352.9810905456543,0
1785129117.4906013,352.86498069763184,0
1785129117.4923644,354.4135093688965,0
1785129117.493025,356.4763069152832,0
1785129117.4930942,354.9151420593262,0
1785129117.4931529,354.79044914245605,0
1785129117.4961464,357.4984073638916,0
1785129117.49623,357.7249050140381,0
1785129117.496305,357.46216773986816,0
1785129117.4963899,356.97436332702637,0
1785129117.496462,356.86779022216797,0
1785129117.4965298,356.80389404296875,0
1785129117.496595,356.6699028015137,0
1785129117.4966567,356.48345947265625,0
1785129117.496722,356.40454292297363,0
1785129117.4995756,359.114408493042,0
1785129117.499668,359.0564727783203,0
1785129117.499744,358.91222953796387,0
1785129117.4998446,358.80470275878906,0
1785129117.4999156,358.72817039489746,0
1785129117.4999828,358.6268424987793,0
1785129117.50005,358.5226535797119,0
1785129117.5001156,358.43968391418457,0
1785129117.5001915,358.3407402038574,0
1785129117.5002627,358.1807613372803,0
1785129117.5003262,361.0708713531494,0
1785129117.5003896,358.0026626586914,0
1785129117.5004525,357.9061031341553,0
1785129117.5005186,357.8066825866699,0
1785129117.5005808,357.0880889892578,0
1785129117.5006423,356.97007179260254,0
1785129117.5007038,356.80198669433594,0
1785129117.5007634,356.6932678222656,0
1785129117.5017374,357.50627517700195,0
1785129117.5018425,357.38372802734375,0
1785129117.5019116,357.2969436645508,0
1785129117.5023944,357.62548446655273,0
1785129117.5024636,357.5403690338135,0
1785129117.5028262,357.76662826538086,0
1785129117.502907,357.70201683044434,0
1785129117.5029788,357.54919052124023,0
1785129117.5237548,384.7177028656006,0
1785129117.5258508,380.1155090332031,0
1785129117.52921,383.2898139953613,0
1785129117.5295823,383.5101127624512,0
1785129117.531094,384.80663299560547,0
1785129117.5327923,386.3241672515869,0
1785129117.5337462,387.1307373046875,0
1785129117.5351386,388.38839530944824,0
1785129117.5377386,390.7308578491211,0
1785129117.5401628,392.974853515625,0
1785129117.5408723,393.4760093688965,0
1785129117.5419924,399.77192878723145,0
1785129117.5433083,395.4024314880371,0
1785129117.5449958,396.94666862487793,0
1785129117.545951,396.0540294647217,0
1785129117.5479586,397.8753089904785,0
1785129117.5503757,400.1274108886719,0
1785129117.5509942,400.5870819091797,0
1785129117.5530148,402.45556831359863,0
1785129117.5540326,403.2256603240967,0
1785129117.5556188,404.65712547302246,0
1785129117.5570748,405.9417247772217,0
1785129117.5589767,411.26418113708496,0
1785129117.5598507,414.2625331878662,0
1785129117.5625057,414.9477481842041,0
1785129117.5633214,411.08202934265137,0
1785129117.56504,412.6594066619873,0
1785129117.567102,414.55650329589844,0
1785129117.5690234,416.20850563049316,0
1785129117.570966,417.9978370666504,0
1785129117.5719876,418.8845157623291,0
1785129117.573147,419.8720455169678,0
1785129117.5749795,422.90377616882324,0
1785129117.5761302,424.55458641052246,0
1785129117.578131,426.21874809265137,0
1785129117.580043,428.6167621612549,0
1785129117.5816674,430.3736686706543,0
1785129117.5831246,429.4896125793457,0
1785129117.5840654,429.5952320098877,0
1785129117.5861194,431.4136505126953,0
1785129117.5880284,433.13026428222656,0
1785129117.5888321,432.88731575012207,0
1785129117.5908155,436.9831085205078,0
1785129117.5916102,435.5151653289795,0
1785129117.5932372,436.97667121887207,0
1785129117.595492,438.9925003051758,0
1785129117.5963724,439.7270679473877,0
1785129117.5984368,441.6069984436035,0
1785129117.599173,442.1732425689697,0
1785129117.6015716,444.4122314453125,0
1785129117.6025665,445.19495964050293,0
1785129117.604093,446.5622901916504,0
1785129117.6057184,448.0259418487549,0
1785129117.6071503,449.2628574371338,0
